,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Dataset,Survived,CabinD,CabinEO,Company,Companions,Alone,NamePrefix,Agegroup
0,1,3.0,male,22.0,1.0,0.0,7.25,S,train,0.0,U,u,1,1.0,0,Mr,18-25
1,2,1.0,female,38.0,1.0,0.0,712833.0,C,train,1.0,C,o,1,1.0,0,Mrs,35-60
2,3,3.0,female,26.0,0.0,0.0,7925.0,S,train,1.0,U,u,0,0.0,1,Miss,25-35
3,4,1.0,female,35.0,1.0,0.0,53.1,S,train,1.0,C,o,1,1.0,0,Mrs,25-35
4,5,3.0,male,35.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,25-35
5,6,3.0,male,26.0,0.0,0.0,84583.0,Q,train,0.0,U,u,0,0.0,1,Mr,25-35
6,7,1.0,male,54.0,0.0,0.0,518625.0,S,train,0.0,E,e,0,0.0,1,Mr,35-60
7,8,3.0,male,2.0,3.0,1.0,21075.0,S,train,0.0,U,u,3,4.0,0,Master,0-4
8,9,3.0,female,27.0,0.0,2.0,111333.0,S,train,1.0,U,u,2,2.0,0,Mrs,25-35
9,10,2.0,female,14.0,1.0,0.0,300708.0,C,train,1.0,U,u,1,1.0,0,Mrs,12-18
10,11,3.0,female,4.0,1.0,1.0,16.7,S,train,1.0,G,e,3,2.0,0,Miss,0-4
11,12,1.0,female,58.0,0.0,0.0,26.55,S,train,1.0,C,o,0,0.0,1,Miss,35-60
12,13,3.0,male,20.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,18-25
13,14,3.0,male,39.0,1.0,5.0,31275.0,S,train,0.0,U,u,3,6.0,0,Mr,35-60
14,15,3.0,female,14.0,0.0,0.0,78542.0,S,train,0.0,U,u,0,0.0,1,Miss,12-18
15,16,2.0,female,55.0,0.0,0.0,16.0,S,train,1.0,U,u,0,0.0,1,Mrs,35-60
16,17,3.0,male,2.0,4.0,1.0,29125.0,Q,train,0.0,U,u,3,5.0,0,Master,0-4
17,18,2.0,male,30.0,0.0,0.0,13.0,S,train,1.0,U,u,0,0.0,1,Mr,25-35
18,19,3.0,female,31.0,1.0,0.0,18.0,S,train,0.0,U,u,1,1.0,0,Mrs,25-35
19,20,3.0,female,31.0,0.0,0.0,7225.0,C,train,1.0,U,u,0,0.0,1,Mrs,25-35
20,21,2.0,male,35.0,0.0,0.0,26.0,S,train,0.0,U,u,0,0.0,1,Mr,25-35
21,22,2.0,male,34.0,0.0,0.0,13.0,S,train,1.0,D,e,0,0.0,1,Mr,25-35
23,24,1.0,male,28.0,0.0,0.0,35.5,S,train,1.0,A,e,0,0.0,1,Mr,25-35
24,25,3.0,female,8.0,3.0,1.0,21075.0,S,train,0.0,U,u,3,4.0,0,Miss,4-12
25,26,3.0,female,38.0,1.0,5.0,313875.0,S,train,1.0,U,u,3,6.0,0,Mrs,35-60
26,27,3.0,male,26.0,0.0,0.0,7225.0,C,train,0.0,U,u,0,0.0,1,Mr,25-35
27,28,1.0,male,19.0,3.0,2.0,263.0,S,train,0.0,C,o,3,5.0,0,Mr,18-25
29,30,3.0,male,26.0,0.0,0.0,78958.0,S,train,0.0,U,u,0,0.0,1,Mr,25-35
30,31,1.0,male,40.0,0.0,0.0,277208.0,C,train,0.0,U,u,0,0.0,1,Royalty,35-60
31,32,1.0,female,45.0,1.0,0.0,1465208.0,C,train,1.0,B,e,1,1.0,0,Mrs,35-60
32,33,3.0,female,18.75,0.0,0.0,7.75,Q,train,1.0,U,u,0,0.0,1,Miss,18-25
33,34,2.0,male,66.0,0.0,0.0,10.5,S,train,0.0,U,u,0,0.0,1,Mr,60-100
34,35,1.0,male,28.0,1.0,0.0,821708.0,C,train,0.0,U,u,1,1.0,0,Mr,25-35
35,36,1.0,male,42.0,1.0,0.0,52.0,S,train,0.0,U,u,1,1.0,0,Mr,35-60
36,37,3.0,male,26.0,0.0,0.0,72292.0,C,train,1.0,U,u,0,0.0,1,Mr,25-35
37,38,3.0,male,21.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,18-25
38,39,3.0,female,18.0,2.0,0.0,18.0,S,train,0.0,U,u,1,2.0,0,Miss,12-18
39,40,3.0,female,14.0,1.0,0.0,112417.0,C,train,1.0,U,u,1,1.0,0,Miss,12-18
40,41,3.0,female,40.0,1.0,0.0,9475.0,S,train,0.0,U,u,1,1.0,0,Mrs,35-60
41,42,2.0,female,27.0,1.0,0.0,21.0,S,train,0.0,U,u,1,1.0,0,Mrs,25-35
42,43,3.0,male,26.0,0.0,0.0,78958.0,C,train,0.0,U,u,0,0.0,1,Mr,25-35
43,44,2.0,female,3.0,1.0,2.0,415792.0,C,train,1.0,U,u,3,3.0,0,Miss,0-4
44,45,3.0,female,19.0,0.0,0.0,78792.0,Q,train,1.0,U,u,0,0.0,1,Miss,18-25
45,46,3.0,male,26.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,25-35
46,47,3.0,male,26.0,1.0,0.0,15.5,Q,train,0.0,U,u,1,1.0,0,Mr,25-35
47,48,3.0,female,18.75,0.0,0.0,7.75,Q,train,1.0,U,u,0,0.0,1,Miss,18-25
48,49,3.0,male,26.0,2.0,0.0,216792.0,C,train,0.0,U,u,1,2.0,0,Mr,25-35
49,50,3.0,female,18.0,1.0,0.0,17.8,S,train,0.0,U,u,1,1.0,0,Mrs,12-18
50,51,3.0,male,7.0,4.0,1.0,396875.0,S,train,0.0,U,u,3,5.0,0,Master,4-12
51,52,3.0,male,21.0,0.0,0.0,7.8,S,train,0.0,U,u,0,0.0,1,Mr,18-25
52,53,1.0,female,49.0,1.0,0.0,767292.0,C,train,1.0,D,o,1,1.0,0,Mrs,35-60
53,54,2.0,female,29.0,1.0,0.0,26.0,S,train,1.0,U,u,1,1.0,0,Mrs,25-35
54,55,1.0,male,65.0,0.0,1.0,619792.0,C,train,0.0,B,e,2,1.0,0,Mr,60-100
55,56,1.0,male,41.0,0.0,0.0,35.5,S,train,1.0,C,e,0,0.0,1,Mr,35-60
56,57,2.0,female,21.0,0.0,0.0,10.5,S,train,1.0,U,u,0,0.0,1,Miss,18-25
57,58,3.0,male,28.5,0.0,0.0,72292.0,C,train,0.0,U,u,0,0.0,1,Mr,25-35
58,59,2.0,female,5.0,1.0,2.0,27.75,S,train,1.0,U,u,3,3.0,0,Miss,4-12
59,60,3.0,male,11.0,5.0,2.0,46.9,S,train,0.0,U,u,3,7.0,0,Master,4-12
60,61,3.0,male,22.0,0.0,0.0,72292.0,C,train,0.0,U,u,0,0.0,1,Mr,18-25
61,62,1.0,female,38.0,0.0,0.0,80.0,S,train,1.0,B,e,0,0.0,1,Miss,35-60
62,63,1.0,male,45.0,1.0,0.0,83475.0,S,train,0.0,C,o,1,1.0,0,Mr,35-60
63,64,3.0,male,4.0,3.0,2.0,27.9,S,train,0.0,U,u,3,5.0,0,Master,0-4
64,65,1.0,male,41.0,0.0,0.0,277208.0,C,train,0.0,U,u,0,0.0,1,Mr,35-60
65,66,3.0,male,6.0,1.0,1.0,152458.0,C,train,1.0,U,u,3,2.0,0,Master,4-12
66,67,2.0,female,29.0,0.0,0.0,10.5,S,train,1.0,F,o,0,0.0,1,Mrs,25-35
67,68,3.0,male,19.0,0.0,0.0,81583.0,S,train,0.0,U,u,0,0.0,1,Mr,18-25
68,69,3.0,female,17.0,4.0,2.0,7925.0,S,train,1.0,U,u,3,6.0,0,Miss,12-18
69,70,3.0,male,26.0,2.0,0.0,86625.0,S,train,0.0,U,u,1,2.0,0,Mr,25-35
70,71,2.0,male,32.0,0.0,0.0,10.5,S,train,0.0,U,u,0,0.0,1,Mr,25-35
71,72,3.0,female,16.0,5.0,2.0,46.9,S,train,0.0,U,u,3,7.0,0,Miss,12-18
72,73,2.0,male,21.0,0.0,0.0,73.5,S,train,0.0,U,u,0,0.0,1,Mr,18-25
73,74,3.0,male,26.0,1.0,0.0,144542.0,C,train,0.0,U,u,1,1.0,0,Mr,25-35
74,75,3.0,male,32.0,0.0,0.0,564958.0,S,train,1.0,U,u,0,0.0,1,Mr,25-35
75,76,3.0,male,25.0,0.0,0.0,7.65,S,train,0.0,G,o,0,0.0,1,Mr,18-25
76,77,3.0,male,26.0,0.0,0.0,78958.0,S,train,0.0,U,u,0,0.0,1,Mr,25-35
77,78,3.0,male,26.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,25-35
78,79,2.0,male,0.83,0.0,2.0,29.0,S,train,1.0,U,u,2,2.0,0,Master,0-4
79,80,3.0,female,30.0,0.0,0.0,12475.0,S,train,1.0,U,u,0,0.0,1,Miss,25-35
80,81,3.0,male,22.0,0.0,0.0,9.0,S,train,0.0,U,u,0,0.0,1,Mr,18-25
81,82,3.0,male,29.0,0.0,0.0,9.5,S,train,1.0,U,u,0,0.0,1,Mr,25-35
82,83,3.0,female,18.75,0.0,0.0,77875.0,Q,train,1.0,U,u,0,0.0,1,Miss,18-25
83,84,1.0,male,28.0,0.0,0.0,47.1,S,train,0.0,U,u,0,0.0,1,Mr,25-35
84,85,2.0,female,17.0,0.0,0.0,10.5,S,train,1.0,U,u,0,0.0,1,Miss,12-18
85,86,3.0,female,33.0,3.0,0.0,15.85,S,train,1.0,U,u,1,3.0,0,Mrs,25-35
86,87,3.0,male,16.0,1.0,3.0,34375.0,S,train,0.0,U,u,3,4.0,0,Mr,12-18
87,88,3.0,male,26.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,25-35
88,89,1.0,female,23.0,3.0,2.0,263.0,S,train,1.0,C,o,3,5.0,0,Miss,18-25
89,90,3.0,male,24.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,18-25
90,91,3.0,male,29.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,25-35
91,92,3.0,male,20.0,0.0,0.0,78542.0,S,train,0.0,U,u,0,0.0,1,Mr,18-25
92,93,1.0,male,46.0,1.0,0.0,61175.0,S,train,0.0,E,o,1,1.0,0,Mr,35-60
93,94,3.0,male,26.0,1.0,2.0,20575.0,S,train,0.0,U,u,3,3.0,0,Mr,25-35
94,95,3.0,male,59.0,0.0,0.0,7.25,S,train,0.0,U,u,0,0.0,1,Mr,35-60
95,96,3.0,male,26.0,0.0,0.0,8.05,S,train,0.0,U,u,0,0.0,1,Mr,25-35
96,97,1.0,male,71.0,0.0,0.0,346542.0,C,train,0.0,A,o,0,0.0,1,Mr,60-100
97,98,1.0,male,23.0,0.0,1.0,633583.0,C,train,1.0,D,e,2,1.0,0,Mr,18-25
