,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Dataset,Survived,CabinD,CabinEO,Company,Companions,Alone,NamePrefix,Agegroup
891,892,3.0,male,34.5,0.0,0.0,78292.0,Q,test,,U,u,0,0.0,1,Mr,25-35
892,893,3.0,female,47.0,1.0,0.0,7.0,S,test,,U,u,1,1.0,0,Mrs,35-60
893,894,2.0,male,62.0,0.0,0.0,96875.0,Q,test,,U,u,0,0.0,1,Mr,60-100
894,895,3.0,male,27.0,0.0,0.0,86625.0,S,test,,U,u,0,0.0,1,Mr,25-35
895,896,3.0,female,22.0,1.0,1.0,122875.0,S,test,,U,u,3,2.0,0,Mrs,18-25
896,897,3.0,male,14.0,0.0,0.0,9225.0,S,test,,U,u,0,0.0,1,Mr,12-18
897,898,3.0,female,30.0,0.0,0.0,76292.0,Q,test,,U,u,0,0.0,1,Miss,25-35
898,899,2.0,male,26.0,1.0,1.0,29.0,S,test,,U,u,3,2.0,0,Mr,25-35
899,900,3.0,female,18.0,0.0,0.0,72292.0,C,test,,U,u,0,0.0,1,Mrs,12-18
900,901,3.0,male,21.0,2.0,0.0,24.15,S,test,,U,u,1,2.0,0,Mr,18-25
901,902,3.0,male,26.0,0.0,0.0,78958.0,S,test,,U,u,0,0.0,1,Mr,25-35
902,903,1.0,male,46.0,0.0,0.0,26.0,S,test,,U,u,0,0.0,1,Mr,35-60
903,904,1.0,female,23.0,1.0,0.0,822667.0,S,test,,B,o,1,1.0,0,Mrs,18-25
904,905,2.0,male,63.0,1.0,0.0,26.0,S,test,,U,u,1,1.0,0,Mr,60-100
905,906,1.0,female,47.0,1.0,0.0,61175.0,S,test,,E,o,1,1.0,0,Mrs,35-60
906,907,2.0,female,24.0,1.0,0.0,277208.0,C,test,,U,u,1,1.0,0,Mrs,18-25
907,908,2.0,male,35.0,0.0,0.0,12.35,Q,test,,U,u,0,0.0,1,Mr,25-35
908,909,3.0,male,21.0,0.0,0.0,7225.0,C,test,,U,u,0,0.0,1,Mr,18-25
909,910,3.0,female,27.0,1.0,0.0,7925.0,S,test,,U,u,1,1.0,0,Miss,25-35
911,912,1.0,male,55.0,1.0,0.0,59.4,C,test,,U,u,1,1.0,0,Mr,35-60
912,913,3.0,male,9.0,0.0,1.0,31708.0,S,test,,U,u,2,1.0,0,Master,4-12
913,914,1.0,female,45.0,0.0,0.0,316833.0,S,test,,U,u,0,0.0,1,Mrs,35-60
914,915,1.0,male,21.0,0.0,1.0,613792.0,C,test,,U,u,2,1.0,0,Mr,18-25
915,916,1.0,female,48.0,1.0,3.0,262375.0,C,test,,B,o,3,4.0,0,Mrs,35-60
916,917,3.0,male,50.0,1.0,0.0,14.5,S,test,,U,u,1,1.0,0,Mr,35-60
917,918,1.0,female,22.0,0.0,1.0,619792.0,C,test,,B,e,2,1.0,0,Miss,18-25
